Nama Dosen;Program Studi;Kepakaran;URL Profil
Dwi Bayu Prasetya, S.Si., M. Eng.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBma69kaWqVlLJzf5aTZmRkapNqZ4V3fZBoaGmWamVhln56fg%3D%3D
Zulqadri Ansar, S.T., M.T.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBnYq9qZWGTYn5xgpFll2mVaZKWl7B2ssJhk5doZWWUmK90gA%3D%3D
Muhamad Kumaidi, S.Pd.I., M.H.I.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJFhYq9mZ2RhloF5rZaSl2OZbpNlZoOkgpFllWpmmWmWZ69zfQ%3D%3D
Yudha Rahman, S.T., M.T;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJFkaK%2BXZpdil390g8SVlGdmaGlhmIBzfsFplZeZbGhjk7CnsA%3D%3D
Adnin Musadri Asbi, S.Hut., M.Sc.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJFnYq%2BVm2hqYn96g5OVa5lkmWhiaYN4ssRqlZlqbmKWmLJxgA%3D%3D
Fran Sinatra, S.P., M.T;Perencanaan Wilayah dan Kota;;https://directory.itera.ac.id/researcher/id/gpKIfJJjY69omJOVa7JyscWTlJmXmGmSaIJ5fJiUZGZrmGpka4akfA%3D%3D
Dr. Muhammad Zainal Ibad, S.T., M.T.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJJmZq%2BaZmSXlYN4gsCXZGqZbmhkZIB1gZZnlJdll2VmlH2kgA%3D%3D
Tetty Harahap, S.T., M.Eng.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJJoY6%2BVbGaSaIalgMJiZpRlZWqUY39xr8JjlpRqmWSTaa9yhA%3D%3D
Dr. Goldie Melinda Wijayanti, S.T., M.T.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJNiZq9mbWJmarBygZNoaGqZZpRoloJxrcSSaWpobGFkaoKlhA%3D%3D
Mia Ermawati, S.T., M.T;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJNpaK%2BWl5dqZ7J4g5OXYmOYmmhlY6%2BnrsBmaGVrZWpoYoJ3fQ%3D%3D
Adinda Sekar Tanjung, S.T., M.T;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJRpZa9nmpJjaIN2fsGWl5loapOXZbCnspdiY5WYbJdhlYJzhQ%3D%3D
Nela Agustin Kurnianingsih, S.T., M.T.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJRpZq9naGFkl656gsWTl5Rql2Fmaq6khZVjY2WXaZOUaIN3fA%3D%3D
Hafi Munirwan, S.T., M.Sc;Perencanaan Wilayah dan Kota;Urban Regeneration, Urban Redevelopment, Urban Planning;https://directory.itera.ac.id/researcher/id/gpKIfJRpZ69lZ5NiZn1xrcCXaZiWZmWSaICnhJVmlWSWbZZimLB6gQ%3D%3D
Baiq Rindang Aprildahani, S.T., M.T;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJRpaK%2BWbGGVlYB0r8WUlmZrZ5doZ4Bxg5dnZWlsapdjYn94hA%3D%3D
Zenia F Saraswati, S.T., M.P.W.K;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJViZq9qaGZnZrOlspBlZpRobWVml7F4gcFhY2lpbGhimH1xsA%3D%3D
Lestari P. Winata, S.P.W.K., M.P.W.K.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJZmZ69tZmJqZH6nhZFkZ5lqbGhnaIWnf8GTZZdpbJRkYrF1rw%3D%3D
Chania Rahma MR, S.P.W.K., M. Sc.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJhqaa%2BYbpNilYJxrpGVk2lmZWSSaLCnr5dnZ2hrmZZna7J6fQ%3D%3D
